id,type,text1,text2,text3,text4,text5,notes
svc_toxocyst,SHIP,"The Toxicus Cysta, also known as Toxocyst by spacers, was first found by the exploratory fleet Numinous-Exa-5 as they were traversing an unusual asteroid field in the [redacted] system, circa c+199. The species was discovered when one such specimen successfully ambushed and destroyed a lasher-class frigate, part of the expedition and acting as a forward scout, all 25 souls onboard were deemed lost.  

After overwhelming the seemingly biomechanical, frigate sized creature and recovering its remains, the scientists present identified organs with functions similar to phase coils. Truly a marvel of evolution and a great mystery to be explored. 

Even to this day these creatures remain elusive at best and most think they are but fabricated fables to keep people out of the scavenge-filled fringes.",,,,,
,,,,,,,
svc_arbiter_evo1,SHIP,"Arbiters serve as p-space relays for the waves sent out by Lephantis Tyrant organisms and thus act as a beacon within a swarm or hunting party. They play a similar role to higher-ranking officers in human fleets, relaying orders and keeping their subordinates in check. This overseer ability goes so far that it can force smaller Voidlings to sacrifice themselves by forming living shields against incoming fire.",,,,,
svc_embolist_evo1,SHIP,"This putrid creature, almost blind by nature, makes use of a mutated proboscis to prod targets it believes to be food. If the impailed object retaliates a heavy payload of digestive fluids and larvae are swiftly injected. Subsequent dissolved organic matter serves as excellent feed for both the host and emergent spawn.",,,,,
svc_hemalisk_evo1,SHIP,"A particularly hostile monster even compared to its peers, Hemalisk's extreme metabolism and rabid aggression allows staggering physical abilities far beyond its size class. Some specimens have been observed feasting on non living matter such as hulls, likely due to its impossible energy requirements.",,,,,
svc_keratinos_evo1,SHIP,"This specimen sports an exceptionally resilient carapace, notably exceeding the armor density of most sector-standard warships. Additionally, Keratinos possess a decentralized nervous system analogous to a diffuse nerve net, reminiscent of ancient marine organisms. 
Combat records shows how this distributed neural architecture severely complicates incapacitation efforts, with numerous recorded incidents of reanimation despite critical injury.",,,,,
svc_lephantis_evo1,SHIP,"The largest and most intricate symbiote currently documented, a Lephantis uses its massive lung-like appendages to produce vibrations in phase space. These vibrations serve a dual purpose, enhancing physical and mental capabilities while also guiding symbiotes and individuals with weaker perception.",,,,,
svc_pupacyst_evo1,SHIP,"This species, known as a cultivator or surrogate, is responsible for nest building, transporting, and nurturing of smaller symbiotes.  Its parallel evolution to the Mios paired with an overdeveloped brain for its size allows precise and adaptable tactics unlike what one would expect from such a creature. Pupacysts are unique in their ability to transport antimatter fuel. They possess a specialized organ permanently located in p-space, an evolution that contradicts current hyperphysics theories.",,,,,
svc_toxocyst_evo1,SHIP,"The Toxicus Cysta, also known as Toxocyst by spacers, was first found by the exploratory fleet Numinous-Exa-5 as they were traversing an unusual asteroid field in the [redacted] system, circa c+199. The species was discovered when one such specimen successfully ambushed and destroyed a lasher-class frigate, part of the expedition and acting as a forward scout, all 25 souls onboard were deemed lost.  

After overwhelming the seemingly biomechanical, frigate sized creature and recovering its remains, the scientists present identified organs with functions similar to phase coils. Truly a marvel of evolution and a great mystery to be explored. 

Even to this day these creatures remain elusive at best and most think they are but fabricated fables to keep people out of the scavenge-filled fringes.",,,,,
,,,,,,,
svc_arbiter_evo2,SHIP,"Arbiters serve as p-space relays for the waves sent out by Lephantis Tyrant organisms and thus act as a beacon within a swarm or hunting party. They play a similar role to higher-ranking officers in human fleets, relaying orders and keeping their subordinates in check. This overseer ability goes so far that it can force smaller Voidlings to sacrifice themselves by forming living shields against incoming fire.",,,,,
svc_embolist_evo2,SHIP,"This putrid creature, almost blind by nature, makes use of a mutated proboscis to prod targets it believes to be food. If the impailed object retaliates a heavy payload of digestive fluids and larvae are swiftly injected. Subsequent dissolved organic matter serves as excellent feed for both the host and emergent spawn.",,,,,
svc_hemalisk_evo2,SHIP,"A particularly hostile monster even compared to its peers, Hemalisk's extreme metabolism and rabid aggression allows staggering physical abilities far beyond its size class. Some specimens have been observed feasting on non living matter such as hulls, likely due to its impossible energy requirements.",,,,,
svc_keratinos_evo2,SHIP,"This specimen sports an exceptionally resilient carapace, notably exceeding the armor density of most sector-standard warships. Additionally, Keratinos possess a decentralized nervous system analogous to a diffuse nerve net, reminiscent of ancient marine organisms. 
Combat records shows how this distributed neural architecture severely complicates incapacitation efforts, with numerous recorded incidents of reanimation despite critical injury.",,,,,
svc_pupacyst_evo2,SHIP,"This species, known as a cultivator or surrogate, is responsible for nest building, transporting, and nurturing of smaller symbiotes.  Its parallel evolution to the Mios paired with an overdeveloped brain for its size allows precise and adaptable tactics unlike what one would expect from such a creature. Pupacysts are unique in their ability to transport antimatter fuel. They possess a specialized organ permanently located in p-space, an evolution that contradicts current hyperphysics theories.",,,,,
svc_toxocyst_evo2,SHIP,"The Toxicus Cysta, also known as Toxocyst by spacers, was first found by the exploratory fleet Numinous-Exa-5 as they were traversing an unusual asteroid field in the [redacted] system, circa c+199. The species was discovered when one such specimen successfully ambushed and destroyed a lasher-class frigate, part of the expedition and acting as a forward scout, all 25 souls onboard were deemed lost.  

After overwhelming the seemingly biomechanical, frigate sized creature and recovering its remains, the scientists present identified organs with functions similar to phase coils. Truly a marvel of evolution and a great mystery to be explored. 

Even to this day these creatures remain elusive at best and most think they are but fabricated fables to keep people out of the scavenge-filled fringes.",,,,,
,,,,,,,
svc_arbiter_dark,SHIP,"""Log 4 on subject A2 type C... Out of 27 captured samples 20 have perished of natural cause. It seems extended separation from the symbiote causes extreme stress on these creatures making them to emit a high pitch screech far beyo-  w-what's going o-...""
  - [End of log]", - [End of log],,,,
svc_embolist_dark,SHIP,"""The larvae have not yet finished growing and need to keep their host alive. So although they feast on the caterpillar's blood, they have been careful not to touch a single one of its vital organs.""
  - Old Earth Documentary", - Old Earth Documentary,,,,
svc_hemalisk_dark,SHIP,"""That's impossible! Nothing shrugs off a Reaper like it's nothing! Accuracy must be off...Check weapon systems again!""
  - unidentified Hegemony Captain", - unidentified Hegemony Captain,,,,
svc_keratinos_dark,SHIP,"""Subject-117's post-Hyperadrenal shunt readings are extraordinary. Medical conditions disappear, muscle activity and cognitive abilities are off the charts. Urgent: Report results to ... ""
  - Degraded audiolog recovered from a wrecked Falcon-Class cruiser", - Degraded audiolog recovered from a wrecked Falcon-Class cruiser,,,,
svc_lephantis_dark,SHIP,"""Gaze upon the intricacies of creation, a reflection of the balance woven into realities canvas. To tamper with the threads of life is to challenge the harmony crafted by the Creator, sowing discord in the symphony of being.""
  - Book of Ludd, Nature 6:3"," - Book of Ludd, Nature 6:3",,,,
svc_pupacyst_dark,SHIP,"""Sir, the alpha strike...it didn't hit. They...swarms of them, they took out every missile!"" 
""Fire again, damn it!""
""Flux is spiking, Sir! We can't sustain...a tactical retreat is our only option!"" 
""Nonsense! Engage!""
 - bridge recording recovered from an Executor black box", - bridge recording recovered from an Executor black box,,,,
svc_toxocyst_dark,SHIP,"""Knights on the CGR Commonwealth had recovered some sort of creature whilst in orbit. It acted frantic, as if it was in some sort of danger... Right as we got the go ahead to form the drive bubble we saw the Commonwealth go dark...I-I don't know how our sensors didn't see it coming.""
  - former Paladin Captain Jebediah Crops", - former Paladin Captain Jebediah Crops,,,,
,,,,,,,
svc_arbiter_dark_evo1,SHIP,"""Log 4 on subject A2 type C... Out of 27 captured samples 20 have perished of natural cause. It seems extended separation from the symbiote causes extreme stress on these creatures making them to emit a high pitch screech far beyo-  w-what's going o-...""
  - [End of log]", - [End of log],,,,
svc_embolist_dark_evo1,SHIP,"""The larvae have not yet finished growing and need to keep their host alive. So although they feast on the caterpillar's blood, they have been careful not to touch a single one of its vital organs.""
  - Old Earth Documentary", - Old Earth Documentary,,,,
svc_hemalisk_dark_evo1,SHIP,"""That's impossible! Nothing shrugs off a Reaper like it's nothing! Accuracy must be off...Check weapon systems again!""
  - unidentified Hegemony Captain", - unidentified Hegemony Captain,,,,
svc_keratinos_dark_evo1,SHIP,"""Subject-117's post-Hyperadrenal shunt readings are extraordinary. Medical conditions disappear, muscle activity and cognitive abilities are off the charts. Urgent: Report results to ... ""
  - Degraded audiolog recovered from a wrecked Falcon-Class cruiser", - Degraded audiolog recovered from a wrecked Falcon-Class cruiser,,,,
svc_lephantis_dark_evo1,SHIP,"""Gaze upon the intricacies of creation, a reflection of the balance woven into realities canvas. To tamper with the threads of life is to challenge the harmony crafted by the Creator, sowing discord in the symphony of being.""
  - Book of Ludd, Nature 6:3"," - Book of Ludd, Nature 6:3",,,,
svc_pupacyst_dark_evo1,SHIP,"""Sir, the alpha strike...it didn't hit. They...swarms of them, they took out every missile!"" 
""Fire again, damn it!""
""Flux is spiking, Sir! We can't sustain...a tactical retreat is our only option!"" 
""Nonsense! Engage!""
 - bridge recording recovered from an Executor black box", - bridge recording recovered from an Executor black box,,,,
svc_toxocyst_dark_evo1,SHIP,"""Knights on the CGR Commonwealth had recovered some sort of creature whilst in orbit. It acted frantic, as if it was in some sort of danger... Right as we got the go ahead to form the drive bubble we saw the Commonwealth go dark...I-I don't know how our sensors didn't see it coming.""
  - former Paladin Captain Jebediah Crops", - former Paladin Captain Jebediah Crops,,,,
,,,,,,,
svc_arbiter_dark_evo2,SHIP,"""Log 4 on subject A2 type C... Out of 27 captured samples 20 have perished of natural cause. It seems extended separation from the symbiote causes extreme stress on these creatures making them to emit a high pitch screech far beyo-  w-what's going o-...""
  - [End of log]", - [End of log],,,,
svc_embolist_dark_evo2,SHIP,"""The larvae have not yet finished growing and need to keep their host alive. So although they feast on the caterpillar's blood, they have been careful not to touch a single one of its vital organs.""
  - Old Earth Documentary", - Old Earth Documentary,,,,
svc_hemalisk_dark_evo2,SHIP,"""That's impossible! Nothing shrugs off a Reaper like it's nothing! Accuracy must be off...Check weapon systems again!""
  - unidentified Hegemony Captain", - unidentified Hegemony Captain,,,,
svc_keratinos_dark_evo2,SHIP,"""Subject-117's post-Hyperadrenal shunt readings are extraordinary. Medical conditions disappear, muscle activity and cognitive abilities are off the charts. Urgent: Report results to ... ""
  - Degraded audiolog recovered from a wrecked Falcon-Class cruiser", - Degraded audiolog recovered from a wrecked Falcon-Class cruiser,,,,
svc_pupacyst_dark_evo2,SHIP,"""Sir, the alpha strike...it didn't hit. They...swarms of them, they took out every missile!"" 
""Fire again, damn it!""
""Flux is spiking, Sir! We can't sustain...a tactical retreat is our only option!"" 
""Nonsense! Engage!""
 - bridge recording recovered from an Executor black box", - bridge recording recovered from an Executor black box,,,,
svc_toxocyst_dark_evo2,SHIP,"""Knights on the CGR Commonwealth had recovered some sort of creature whilst in orbit. It acted frantic, as if it was in some sort of danger... Right as we got the go ahead to form the drive bubble we saw the Commonwealth go dark...I-I don't know how our sensors didn't see it coming.""
  - former Paladin Captain Jebediah Crops", - former Paladin Captain Jebediah Crops,,,,
,,,,,,,
svc_scoliac,SHIP,"""So, don’t believe anyone who says that since nature is based on a struggle for life, we need to live like this as well. Many animals survive not by eliminating each other or keeping everything for themselves, but by cooperating and sharing. This applies most definitely to pack hunters, such as wolves or killer whales [...].""
  - Frans de Waal, Galatia Academy Xeno-Sociologist",,,,,
svc_scoliac_tail,SHIP,"""So, don’t believe anyone who says that since nature is based on a struggle for life, we need to live like this as well. Many animals survive not by eliminating each other or keeping everything for themselves, but by cooperating and sharing. This applies most definitely to pack hunters, such as wolves or killer whales [...].""
  - Frans de Waal, Galatia Academy Xeno-Sociologist",,,,,
svc_mastermind,SHIP,NODESCRIPTION...YET,,,,,
,,,,,,,
svc_mios,SHIP,Mios drones seem to be closely related to Embolist void creatures judging by their general appearance. Perhaps they are a larval form nurtured by surrogate ceatures which would make sense given the Embolist's parasitic nature.,,,,,
svc_pox,SHIP,Pox are basically just a nervous system attached to 2 chemical-filled sacs that explode when these chemicals come into contact with each other. They hurl themselves at enemies to defend the mother organism.,,,,,
svc_torid,SHIP,This species is capable of producing and projecting a large amount of ink-like material. The esoteric digestive system required to accomplish this feat cements its reliance on larger symbiotes.,,,,,
svc_phage,SHIP,Phage are little more than sinewy sacs of potent acid. If one had to choose it would probably fit into the bomber role.,,,,,
,,,,,,,
svc_stjarwhal_calf,SHIP,"This titanic organism is part of a relatively unknown species of cosmic protozoa, commonly mistaken for ""space whales"" which is an ancient spacer myth that started during the early expansion epoch. This individual is a pup of its species, as indicated by the size and shape. During this stage in its life cicle it has evolved neither male nor female attributes.

Stjarwhals are peaceful filter-feeders, relying on their huge body size and numbers to drive off predators while the larger ones protect the young. They are highly intelligent and social creatures, similar to old-earth dolphin species. The whales have been observed to recognize people on spaceships they've encountered before and will act according to they treated them in previous encounters. Stjarwhals even travel alongside fleets whose captain they deem friendly.

So far nobody has been able to identify what these gigantic unicelled organisms are filtering from the void to feed on or how they are able to recognize humans behind thick walls of armour on spaceships. They ""swim"" around in space through a fascinatingly complex method that seems impossible by contemporary scientific knowledge which even gives them hyperspace capability, where herds of whales can be encountered most commonly.",,,,,
svc_stjarwhal,SHIP,"This titanic organism is part of a relatively unknown species of cosmic protozoa, commonly mistaken for ""space whales"" which is an ancient spacer myth that started during the early expansion epoch. This individual is a female adult of its species, also called a cow.

Stjarwhals are peaceful filter-feeders, relying on their huge body size and numbers to drive off predators while the larger ones protect the young. They are highly intelligent and social creatures, similar to old-earth dolphin species. The whales have been observed to recognize people on spaceships they've encountered before and will act according to they treated them in previous encounters. Stjarwhals even travel alongside fleets whose captain they deem friendly.

So far nobody has been able to identify what these gigantic unicelled organisms are filtering from the void to feed on or how they are able to recognize humans behind thick walls of armour on spaceships. They ""swim"" around in space through a fascinatingly complex method that seems impossible by contemporary scientific knowledge which even gives them hyperspace capability, where herds of whales can be encountered most commonly.",,,,,
svc_stjarwhal_bull,SHIP,"This titanic organism is part of a relatively unknown species of cosmic protozoa, commonly mistaken for ""space whales"" which is an ancient spacer myth that started during the early expansion epoch. This individual is a male adult of its species, as indicated by the size and shape. 

Stjarwhals are peaceful filter-feeders, relying on their huge body size and numbers to drive off predators while the larger ones protect the young. They are highly intelligent and social creatures, similar to old-earth dolphin species. The whales have been observed to recognize people on spaceships they've encountered before and will act according to they treated them in previous encounters. Stjarwhals even travel alongside fleets whose captain they deem friendly.

So far nobody has been able to identify what these gigantic unicelled organisms are filtering from the void to feed on or how they are able to recognize humans behind thick walls of armour on spaceships. They ""swim"" around in space through a fascinatingly complex method that seems impossible by contemporary scientific knowledge which even gives them hyperspace capability, where herds of whales can be encountered most commonly.",,,,,
,,,,,,,
svc_booze_c,RESOURCE,A vile concoction made from Stjarwhal tails and other bits of creatures found in the void. Strawberry flavour.,"Decreases fuel use and impact of hyperspace storms and coronas, increases maintenance supply use and sensor profile.",,,,
svc_meat,CUSTOM,"A collection of rotten meat and other foodstuffs, doused with a toxin deadly to void creatures.",,,,,
